ID;answered_all;Duration..in.seconds.;RecordedDate;UserLanguage;Dem_age;Dem_gender;Dem_edu;Dem_edu_mom;Dem_employment;Country;Dem_Expat;Dem_state;Dem_maritalstatus;Dem_dependents;Dem_riskgroup;Dem_isolation;Dem_isolation_adults;Dem_isolation_kids;AD_gain;AD_loss;AD_check;Scale_PSS10_UCLA_1;Scale_PSS10_UCLA_2;Scale_PSS10_UCLA_3;Scale_PSS10_UCLA_4;Scale_PSS10_UCLA_5;Scale_PSS10_UCLA_6;Scale_PSS10_UCLA_7;Scale_PSS10_UCLA_8;Scale_PSS10_UCLA_9;Scale_PSS10_UCLA_10;Scale_SLON_1;Scale_SLON_2;Scale_SLON_3;OECD_people_1;OECD_people_2;OECD_insititutions_1;OECD_insititutions_2;OECD_insititutions_3;OECD_insititutions_4;OECD_insititutions_5;OECD_insititutions_6;Corona_concerns_1;Corona_concerns_2;Corona_concerns_3;Corona_concerns_4;Corona_concerns_5;Trust_countrymeasure;Compliance_1;Compliance_2;Compliance_3;Compliance_4;Compliance_5;Compliance_6;born_92;experience_war;experience_war_TXT;war_injury;loss_during_war;time_spent_in_war;time_spent_in_war_TXT;Scale_UCLA_TRI_1;Scale_UCLA_TRI_2;Scale_UCLA_TRI_3;Scale_UCLA_TRI_4;PS_PTSD_1;PS_PTSD_2;PS_PTSD_3;PS_PTSD_4;PS_PTSD_5;BFF_15_1;BFF_15_2;BFF_15_3;BFF_15_4;BFF_15_5;BFF_15_6;BFF_15_7;BFF_15_8;BFF_15_9;BFF_15_10;BFF_15_11;BFF_15_12;BFF_15_13;BFF_15_14;BFF_15_15;Expl_Distress_1;Expl_Distress_2;Expl_Distress_3;Expl_Distress_4;Expl_Distress_5;Expl_Distress_6;Expl_Distress_7;Expl_Distress_8;Expl_Distress_9;Expl_Distress_10;Expl_Distress_11;Expl_Distress_12;Expl_Distress_13;Expl_Distress_14;Expl_Distress_15;Expl_Distress_16;Expl_Distress_17;Expl_Distress_18;Expl_Distress_19;Expl_Distress_20;Expl_Distress_21;Expl_Distress_22;Expl_Distress_23;Expl_Distress_24;Expl_Distress_txt;SPS_1;SPS_2;SPS_3;SPS_4;SPS_5;SPS_6;SPS_7;SPS_8;SPS_9;SPS_10;Expl_Coping_1;Expl_Coping_2;Expl_Coping_3;Expl_Coping_4;Expl_Coping_5;Expl_Coping_6;Expl_Coping_7;Expl_Coping_8;Expl_Coping_9;Expl_Coping_10;Expl_Coping_11;Expl_Coping_12;Expl_Coping_13;Expl_Coping_14;Expl_Coping_15;Expl_Coping_16;Expl_coping_txt;Expl_media_1;Expl_media_2;Expl_media_3;Expl_media_4;Expl_media_5;Expl_media_6;Final_open;PSS10_avg;SLON3_avg;neu;ext;ope;agr;con;SPS_avg;Scale_UCLA_TRI_avg
21698;No;1031;14/04/2020 19:00;PT-BR;67;Male;College degree, bachelor, master;Up to 9 years of school;Self-employed;Brazil;no;Rj;Married/cohabiting;2;Yes;Life carries on with minor changes;2;0;NA;· If Program C is adopted 400 people will die.;Yes;2;2;1;5;1;3;5;3;1;1;2;2;2;9;7;9;8;8;8;10;8;NA;NA;NA;NA;NA;1;5;5;5;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;3;6;5;3;4;5;5;4;5;4;5;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3.66666666666667;5;4.66666666666667;4;4.66666666666667;NA;NA
21738;No;1328;13/04/2020 17:48;PT-BR;22;Female;Some College, short continuing education or equivalent;Some College or equivalent;Student;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;1;0;NA;· If Program C is adopted 400 people will die.;No;4;4;4;3;2;3;2;2;5;3;2;2;3;5;7;5;5;7;9;10;6;6;5;5;5;4;2;5;6;6;4;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;3;6;6;5;5;5;5;6;5;5;6;99;99;99;1;4;1;NA;4;99;1;2;6;6;5;99;4;5;2;5;6;6;3;5;1;NA;6;5;4;5;5;6;4;6;6;6;4;1;5;1;6;6;6;6;6;6;6;6;6;6;5;6;NA;6;5;5;5;6;1;NA;3.8;2.33333333333333;4.33333333333333;3.33333333333333;5.33333333333333;4.33333333333333;4.33333333333333;5.3;NA
21746;No;2968;14/04/2020 18:06;PT-BR;52;Female;College degree, bachelor, master;Up to 9 years of school;Part time employed;Brazil;no;S/C;Married/cohabiting;2;Yes;Life carries on with minor changes;5;NA;NA;NA;NA;NA;5;5;1;2;5;4;1;5;NA;1;1;5;5;5;0;4;5;5;5;0;6;6;6;6;6;0;6;6;6;6;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;3;2;5;1;5;6;1;3;6;3;1;4;3;3;5;6;1;6;6;3;1;1;4;4;4;6;1;3;1;1;1;3;1;1;1;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;2.33333333333333;6;2.33333333333333;4;5;4.33333333333333;NA;NA
21779;No;396;14/04/2020 16:38;PT-BR;22;Female;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Mato Grosso do Sul;Single;0;Yes;Life carries on with minor changes;1;0;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;4;5;5;2;2;5;2;2;5;5;4;3;3;3;3;2;0;3;6;6;0;3;5;5;6;6;0;5;2;3;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;2;5;3;5;4;4;5;3;5;4;5;5;6;6;6;4;6;6;6;6;6;1;6;5;5;6;6;6;3;6;4;6;6;6;6;6;3;We;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.5;3.33333333333333;3.33333333333333;3.33333333333333;4.33333333333333;4.33333333333333;4.33333333333333;NA;NA
21863;No;949;14/04/2020 15:30;PT-BR;70;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;NA;Rio de Janeiro;Married/cohabiting;1;NA;Isolated;1;NA;NA;NA;NA;2;3;2;5;4;1;5;3;NA;1;2;1;3;7;8;1;6;6;7;2;8;5;5;5;6;5;9;6;6;6;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;6;6;6;1;5;6;5;2;5;6;5;1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.77777777777778;2;1.66666666666667;6;5.33333333333333;5.33333333333333;5.33333333333333;NA;NA
21916;No;648;14/04/2020 14:51;PT-BR;83;Female;College degree, bachelor, master;Up to 9 years of school;Retired;Brazil;no;NA;Single;1;Yes;Isolated;2;0;NA;NA;NA;2;3;3;4;4;2;4;4;2;2;5;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.2;3.33333333333333;NA;NA;NA;NA;NA;NA;NA
21999;No;1098;13/04/2020 14:25;PT-BR;51;Female;College degree, bachelor, master;Some College or equivalent;Full time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;4;3;3;3;2;3;3;2;5;3;1;3;2;8;9;8;8;7;7;8;9;NA;NA;NA;NA;NA;9;6;5;6;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;5;5;4;4;5;6;6;1;5;6;6;2;6;6;5;99;5;1;3;1;6;99;6;6;5;6;4;5;4;1;5;5;3;4;1;5;5;NA;6;6;6;6;5;6;6;6;6;4;6;4;6;5;6;6;1;1;6;6;5;5;6;6;6;6;NA;3;2;2;5;5;5;NA;3.5;2;2.66666666666667;4;5.66666666666667;5.66666666666667;5.66666666666667;5.7;NA
22205;No;657;14/04/2020 12:54;PT-BR;60;Female;College degree, bachelor, master;Up to 6 years of school;Self-employed;Brazil;no;RJ;Married/cohabiting;0;Yes;Isolated;1;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;No;1;3;3;5;2;5;3;5;5;2;NA;1;4;6;8;9;7;5;4;8;9;5;5;5;3;5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.8;2.5;NA;NA;NA;NA;NA;NA;NA
22297;No;463;14/04/2020 12:13;PT-BR;24;Female;Some College, short continuing education or equivalent;College degree;Self-employed;Brazil;no;PB;Single;0;Yes;Isolated;3;0;· If Program A is adopted, 200 people will be saved.;NA;No;3;3;3;1;1;3;3;1;3;3;3;3;3;NA;NA;NA;5;8;7;10;NA;6;6;4;6;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;3;NA;NA;NA;NA;NA;NA;NA
22607;Yes;795;13/04/2020 09:52;PT-BR;24;Female;College degree, bachelor, master;College degree;Part time employed;Brazil;no;Rio de Janeiro;Single;0;Yes;Isolated;3;0;· If Program A is adopted, 200 people will be saved.;NA;No;5;3;5;3;2;5;2;2;5;3;4;5;4;7;7;0;4;7;8;9;0;6;6;6;6;6;0;6;6;6;2;4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;1;5;5;2;4;4;6;5;4;6;4;5;4;4;4;99;5;5;5;2;3;99;6;6;6;6;4;5;5;3;6;4;2;5;1;6;2;NA;6;6;5;6;6;6;6;6;6;6;1;4;6;2;5;5;4;3;5;5;5;3;5;5;4;5;NA;3;3;3;3;4;2;NA;4.1;4.33333333333333;6;5;4.66666666666667;4;3.33333333333333;5.9;NA
22617;No;2195;14/04/2020 10:13;PT-BR;59;Female;Some College, short continuing education or equivalent;Up to 6 years of school;Not employed;Brazil;no;Rj;Married/cohabiting;3;Yes;Life carries on with minor changes;3;19;NA;NA;NA;2;4;3;3;3;2;3;3;4;3;1;1;4;3;3;0;8;5;5;5;0;6;5;5;4;6;3;5;6;5;5;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;1;5;5;5;4;5;2;3;5;5;2;2;5;3;6;5;5;4;4;3;99;4;5;4;5;2;6;2;3;3;5;5;5;4;3;5;5;Pssso o tempo todo junto com meu marido;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;5.33333333333333;4;3.66666666666667;4.66666666666667;4;NA;NA
22692;No;1189;14/04/2020 09:25;PT-BR;63;Female;College degree, bachelor, master;Some College or equivalent;Self-employed;Brazil;no;Rio de Janeiro;Divorced/widowed;NA;No;Isolated in medical facility of similar location;0;NA;· If Program A is adopted, 200 people will be saved.;NA;Yes;5;3;4;4;1;5;4;2;3;3;5;1;5;8;8;0;4;1;0;0;1;5;NA;NA;NA;NA;4;5;5;5;2;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;6;NA;5;5;5;5;2;5;5;4;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.6;3.66666666666667;3;4;5;5;4.66666666666667;NA;NA
22724;No;1535;13/04/2020 09:18;PT-BR;80;Female;Some College, short continuing education or equivalent;Some College or equivalent;Retired;Brazil;no;Niteroii- RJ;Other or would rather not say;1;Yes;Life carries on as usual;1;0;NA;NA;NA;1;5;2;4;1;1;4;4;1;1;1;1;4;NA;4;4;9;5;6;6;3;5;5;NA;NA;NA;4;6;6;6;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;6;6;2;5;4;2;2;5;5;4;2;5;5;5;5;NA;4;2;2;1;NA;5;5;6;5;5;4;2;2;3;6;2;5;5;5;4;NA;5;5;NA;5;5;5;5;5;5;5;3;5;5;5;5;NA;3;5;5;NA;5;5;5;5;5;5;NA;4;4;5;4;3;5;NA;2.2;2;2;5.66666666666667;3.66666666666667;5;4.66666666666667;5;NA
22746;No;22931;14/04/2020 15:00;PT-BR;56;Male;College degree, bachelor, master;Up to 6 years of school;Retired;Brazil;no;SP;Single;1;Yes;Life carries on with minor changes;0;0;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;2;3;3;3;2;3;3;3;4;3;2;2;4;4;8;0;4;0;0;0;0;4;4;3;2;2;2;5;5;5;2;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;2;4;2;4;4;1;4;3;4;5;4;5;5;3;99;6;99;4;5;3;99;99;6;3;3;3;4;99;4;3;4;4;4;5;3;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3.1;2.66666666666667;4.33333333333333;3;3;4.33333333333333;3.66666666666667;NA;NA
22757;No;1058;13/04/2020 08:50;PT-BR;56;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;NA;Rj;Divorced/widowed;0;Yes;Life carries on with minor changes;NA;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;Yes;3;2;3;4;3;2;3;3;3;2;3;3;3;10;6;2;4;4;10;4;4;NA;NA;NA;NA;NA;5;5;3;3;3;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;5;5;4;4;4;5;4;4;5;4;4;4;5;5;99;5;3;5;2;99;99;6;5;4;4;5;4;4;2;5;5;5;5;2;6;4;NA;4;5;5;5;5;5;5;5;5;5;3;5;5;3;5;6;5;5;5;4;3;3;4;5;5;4;NA;3;2;2;5;5;3;NA;2.6;3;3.66666666666667;4.33333333333333;4.33333333333333;4;3.66666666666667;4.9;NA
22760;Yes;1071;13/04/2020 08:49;PT-BR;65;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Rio de Janeiro;Married/cohabiting;2;Yes;Isolated;5;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;No;3;4;3;3;4;3;4;3;3;3;2;2;2;5;9;2;4;2;2;7;7;5;6;5;5;5;3;4;4;5;2;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;5;3;4;3;5;2;2;4;4;5;1;5;6;6;6;6;6;2;2;5;2;6;4;6;6;6;2;2;2;5;2;2;5;5;6;6;NA;6;6;6;6;6;5;6;6;4;6;4;6;6;5;5;3;1;1;5;5;5;4;5;5;1;3;NA;5;5;5;5;5;4;A incerteza sobre quanto tempo e se algum dia chegaremos a eliminar esse vírus. O impacto desta incerteza abala qualquer segurança;2.9;2;2;3.66666666666667;3.33333333333333;4.33333333333333;5.33333333333333;5.7;NA
22761;No;1748;13/04/2020 08:59;PT-BR;65;Male;Some College, short continuing education or equivalent;Some College or equivalent;Not employed;Brazil;yes;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;1;0;· If Program A is adopted, 200 people will be saved.;NA;No;4;3;3;4;3;3;4;3;4;1;3;3;5;5;5;0;10;4;0;0;4;4;3;2;1;1;4;6;6;6;6;4;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;6;6;6;3;6;4;5;4;4;6;6;6;6;6;5;1;6;1;6;2;6;1;6;4;3;6;6;5;5;6;5;6;6;6;1;6;6;NA;2;1;6;2;4;4;3;6;6;4;2;NA;6;5;6;6;1;1;6;5;6;5;6;6;6;5;NA;NA;6;6;6;6;1;Saber a verdade de todo isto ! Tenho certeza que mentem no origem;2.8;3.66666666666667;3;5.33333333333333;5;4.33333333333333;4.33333333333333;3.8;NA
22842;Yes;1455;13/04/2020 08:09;PT-BR;57;Female;College degree, bachelor, master;Up to 12 years of school;Retired;Brazil;no;Minas Gerais;Single;0;Yes;Isolated;5;0;· If Program A is adopted, 200 people will be saved.;NA;Not sure;2;2;2;5;3;2;5;3;2;2;2;2;2;5;7;0;3;3;3;5;5;3;4;3;6;6;5;6;4;5;2;4;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;5;5;5;3;4;6;3;1;5;5;1;2;5;3;99;99;4;4;5;99;4;99;6;2;4;5;3;99;2;2;3;2;5;99;2;4;2;Situaçao dos vulneráveis;6;6;6;6;6;6;6;6;6;6;2;3;5;1;5;6;1;1;5;4;3;3;3;5;1;2;NA;3;3;3;3;3;3;Ouvir mais música  Fazer exercício físico  Tomar sol;2;2;1.66666666666667;4.66666666666667;4.33333333333333;5.33333333333333;3.66666666666667;6;NA
22860;No;1288;13/04/2020 07:54;PT-BR;68;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;Married/cohabiting;0;Yes;Isolated;6;0;· If Program A is adopted, 200 people will be saved.;NA;No;3;3;2;4;2;1;4;2;3;1;1;1;3;8;8;1;5;5;5;7;8;5;5;5;5;5;8;6;6;6;3;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;6;5;4;4;4;4;4;2;5;4;3;2;5;4;4;5;2;3;3;1;4;4;4;5;6;6;6;6;5;2;3;2;6;4;3;5;5;NA;6;6;6;6;6;4;5;6;5;6;5;4;4;5;5;3;2;3;NA;6;6;5;4;5;5;5;NA;6;6;6;5;2;1;NA;2.5;1.66666666666667;1.66666666666667;4;4;4.66666666666667;4.33333333333333;5.6;NA
22863;No;3434;13/04/2020 08:29;PT-BR;54;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro;NA;0;Yes;Isolated;1;0;· If Program A is adopted, 200 people will be saved.;NA;No;4;4;3;3;1;3;3;1;3;4;3;3;3;5;5;3;3;3;1;3;3;6;6;6;6;6;3;3;5;5;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;6;6;3;4;5;5;3;5;5;3;3;5;6;5;2;2;3;3;2;5;2;5;6;6;6;6;3;2;2;6;2;3;5;5;5;6;NA;4;5;3;3;4;3;4;4;4;3;3;6;6;3;5;6;5;6;6;4;3;3;4;6;4;4;NA;4;4;4;6;4;3;Impotencia;3.7;3;3;5.33333333333333;4.66666666666667;4.66666666666667;4;3.7;NA
22913;No;1087;13/04/2020 07:28;PT-BR;52;Male;College degree, bachelor, master;Some College or equivalent;Not employed;Brazil;no;Rio de Janeiro;Married/cohabiting;1;Yes;Isolated;2;0;NA;· If Program C is adopted 400 people will die.;No;3;3;3;3;2;3;3;2;3;3;3;2;3;6;7;4;5;5;5;5;6;6;6;6;5;5;5;5;6;6;3;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;4;4;5;3;3;5;4;3;4;5;4;2;5;6;5;5;6;6;5;5;NA;4;6;5;5;6;5;2;5;6;5;6;6;6;5;6;6;NA;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;4;NA;5;NA;6;6;6;6;6;6;NA;3.2;2.66666666666667;3.66666666666667;4.33333333333333;4;4.33333333333333;4.66666666666667;5;NA
22925;Yes;920;13/04/2020 07:20;PT-BR;46;Female;PhD/Doctorate;Some College or equivalent;Part time employed;Brazil;no;SP;Married/cohabiting;2;Yes;Isolated;2;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;Not sure;3;3;3;4;2;3;4;4;2;2;2;2;4;5;7;4;5;8;9;9;1;6;6;6;6;5;0;6;6;6;1;2;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;5;4;2;4;2;6;3;4;4;5;5;4;5;1;2;1;1;1;3;1;1;1;2;6;6;6;6;1;1;1;1;2;1;2;1;1;1;NA;6;6;6;6;6;6;6;6;6;6;5;1;5;1;5;4;1;1;5;5;2;1;5;5;1;6;NA;4;5;6;6;3;3;NA;2.6;2.66666666666667;3.66666666666667;3;3.66666666666667;4;4.33333333333333;6;NA
22986;No;2039;13/04/2020 07:09;PT-BR;65;Female;College degree, bachelor, master;Up to 12 years of school;Retired;Brazil;no;Rio de Janeiro;Divorced/widowed;0;Yes;Life carries on with minor changes;0;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;No;2;1;1;5;5;3;5;4;3;1;2;1;2;8;10;5;5;7;5;8;8;4;5;5;4;NA;4;5;5;5;2;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;5;3;5;4;5;4;2;3;5;2;5;5;1;99;99;1;2;2;2;5;99;5;2;5;5;5;99;2;5;2;2;3;5;5;4;2;NA;5;5;5;5;5;5;5;NA;4;5;5;3;5;1;5;4;5;2;5;5;2;4;5;5;4;4;NA;5;5;2;3;4;2;NA;1.6;1.66666666666667;2;3.33333333333333;4.33333333333333;4.33333333333333;3;4.88888888888889;NA
23018;Yes;1154;13/04/2020 06:43;PT-BR;34;Male;College degree, bachelor, master;Up to 12 years of school;Full time employed;Brazil;no;Rio de janeiro;Married/cohabiting;1;Yes;Life carries on with minor changes;1;1;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;No;4;3;2;2;2;3;3;2;4;4;3;2;4;6;7;0;0;0;6;7;0;4;5;5;6;6;1;4;4;4;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;5;5;2;4;4;5;3;4;4;3;2;5;5;3;4;5;5;3;2;4;4;6;4;5;5;5;5;5;3;4;3;3;4;4;5;3;NA;4;5;4;5;5;4;5;5;5;5;2;5;5;2;5;4;5;5;5;4;3;4;3;5;2;2;NA;4;2;3;3;3;5;NA;3.5;3;3.66666666666667;5;4.33333333333333;4;4.33333333333333;4.7;NA
23020;Yes;1629;13/04/2020 06:50;PT-BR;66;Female;College degree, bachelor, master;Some College or equivalent;Retired;Brazil;no;Rio de Janeiro -rj;Single;3;Yes;Life carries on with minor changes;2;0;NA;· If Program C is adopted 400 people will die.;No;3;3;3;3;3;3;5;3;4;3;3;4;4;5;8;2;4;5;5;2;5;6;6;6;6;6;8;6;6;6;1;4;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;4;6;5;6;5;5;4;5;5;2;6;5;5;4;6;4;5;4;5;5;5;5;5;5;5;5;5;1;6;6;6;5;5;6;1;NA;6;6;6;6;6;5;6;6;5;5;4;1;5;1;5;5;3;2;6;5;6;5;5;6;6;5;NA;5;5;5;5;5;5;NA;2.9;3.66666666666667;4;3.33333333333333;5.33333333333333;3.66666666666667;5.33333333333333;5.7;NA
23062;Yes;1129;14/04/2020 06:21;PT-BR;40;Female;College degree, bachelor, master;College degree;Self-employed;Brazil;no;Distrito Federal;Married/cohabiting;0;Yes;Isolated;1;0;· If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved;NA;No;3;3;3;4;3;2;4;3;3;2;3;2;3;8;9;2;2;7;8;10;7;4;5;4;6;6;3;6;5;5;5;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;4;6;6;1;5;5;4;4;5;6;3;4;6;5;6;99;6;2;5;2;2;99;6;6;6;6;6;6;5;4;2;2;5;2;2;6;2;NA;6;6;6;6;6;6;6;6;6;6;4;4;6;4;6;4;4;4;5;5;4;5;5;5;5;5;NA;3;2;3;5;2;3;Em Meu país, o presidente está em campanha contra as medidas de isolamento propostas pelo ministro da saúde e os governadores dos estados. Isso é um fator bastante estressante.;2.6;2.66666666666667;2.33333333333333;6;4.66666666666667;4.66666666666667;4;6;NA
23104;No;463;14/04/2020 05:41;PT-BR;50;Female;College degree, bachelor, master;College degree;Full time employed;Brazil;no;SP;Single;2;Yes;Life carries on with minor changes;2;0;NA;· If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.;No;3;2;1;4;4;3;4;3;2;1;2;1;2;4;6;1;1;2;3;1;8;3;5;2;3;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.1;1.66666666666667;NA;NA;NA;NA;NA;NA;NA
